Name,Yelp Rating,NYC Rating
tandoor-oven-new-york,3.5,31.4
guyana-palm-court-jamaica-2,3.0,27.151515151515152
butterfield-8-new-york,3.0,15.23076923076923
juice-hugger-cafe-brooklyn-2,4.5,0.0
scarlatto-new-york,3.5,21.53846153846154
soho-room-new-york,3.0,18.0
broome-street-bar-new-york-2,3.5,16.375
asia-roma-new-york,3.5,24.105263157894736
frick-collection-new-york,4.5,18.782608695652176
charles-hansons-169-soul-jazz-oyster-bar-new-york,3.5,23.979166666666668
dominique-ansel-bakery-new-york,4.0,17.22222222222222
coneys-cones-brooklyn,3.5,9.944444444444445
gi-hin-mama-food-flushing,4.0,57.8
le-chéile-new-york-2,3.5,25.53125
three-jolly-pigeons-brooklyn-2,4.0,19.193548387096776
pinkberry-new-york-12,4.0,10.738317757009346
mckeowns-new-york,3.5,16.176470588235293
tori-o-tooles-flushing-2,3.5,21.894736842105264
alphaville-bushwick,4.0,26.5
shanghai-cafe-new-york-4,3.5,33.27777777777778
mcaleers-pub-new-york-2,3.5,19.770833333333332
hurleys-new-york-4,3.0,15.375
jpmorgan-chase-new-york,1.5,5.6
st-mazie-brooklyn-2,4.0,25.676470588235293
nawab-pakistani-indian-cuisine-yonkers,4.5,5.0
local-new-york-6,4.0,16.941176470588236
amore-pizzeria-and-restaurant-north-bergen,3.0,17.379310344827587
disfruta-new-york,4.5,21.70967741935484
1st-stop-new-york-2,3.0,20.375
crazy-willys-richmond-hill,4.0,38.47761194029851
the-dining-room-at-the-modern-new-york,4.0,13.590909090909092
everest-new-york-2,3.5,21.46551724137931
bangkok-thai-house-restaurant-brooklyn,3.5,11.764705882352942
dolphin-diner-fresh-meadows,2.5,30.68421052631579
sherwood-fine-foods-new-york,3.0,14.676470588235293
iron-horse-nyc-new-york,4.0,30.05
comic-strip-live-new-york-2,3.5,21.21212121212121
taqueria-el-maguey-brooklyn,4.5,8.0
sal-kris-and-charlies-deli-astoria,4.5,9.1
cafe-habana-new-york-4,4.0,12.2
bernard-b-jacobs-theatre-new-york,3.5,5.538461538461538
del-friscos-grille-new-york,4.0,13.846153846153847
dragon-land-bakery-new-york,3.5,23.135135135135137
jays-restaurant-jamaica,5.0,9.428571428571429
empire-city-casino-yonkers-2,2.5,16.7
stellas-coffee-shop-queens-village,4.0,17.21951219512195
tous-les-jours-new-york,3.5,26.093023255813954
el-barrio-restaurant-bakery-new-york,3.5,18.696969696969695
good-taste-long-island-city,3.5,11.454545454545455
triple-shot-world-atlas-cafe-long-island-city,3.5,8.25
la-barca-restaurant-new-york,5.0,15.6875
luigis-pizzeria-new-york-2,3.0,27.017543859649123
empire-grill-brooklyn,2.5,17.84090909090909
ny-jumbo-bagels-new-york,4.0,13.12
j-and-c-seafood-saint-albans,4.0,16.689655172413794
181-cabrini-new-york,3.5,19.5
o-lunneys-new-york,3.5,6.285714285714286
magnolia-bakery-new-york,3.0,24.1
burger-king-fort-lee-2,3.5,16.3133514986376
world-bean-east-elmhurst,2.0,11.066666666666666
east-sushi-bistro-brooklyn,4.5,14.071428571428571
joy-siang-restaurant-corona,3.0,21.357142857142858
le-monde-new-york-3,3.0,12.0625
ippudo-ny-new-york,4.0,9.125
forbidden-fruit-nyc-new-york,4.0,5.0
pavilion-grille-new-york,3.0,25.035087719298247
kosher-delight-new-york,2.0,28.355555555555554
the-stellan-new-york,2.5,12.642857142857142
daniel-new-york,4.5,21.307692307692307
second-street-bakery-jersey-city,4.5,12.434782608695652
people-kitchen-and-lounge-new-york,3.0,12.588235294117647
babel-nyc-new-york-2,3.5,11.5
legends-bar-and-grill-jackson-heights,4.0,17.3125
elisas-coffee-shop-brooklyn,3.5,39.95744680851064
platinum-lounge-flushing,3.0,12.0
cipriani-new-york-2,3.5,19.454545454545453
cadaques-restaurant-brooklyn-3,4.0,24.951219512195124
stone-park-cafe-brooklyn-3,4.0,10.11111111111111
lucys-asian-kitchen-jamaica,3.5,10.625
guacuco-hotdog-bushwick,3.0,17.333333333333332
the-billiard-company-forest-hills,3.0,18.048780487804876
gramercy-park-bar-manhattan,4.0,6.7
amber-kips-bay-new-york,3.5,13.979591836734693
la-maison-du-macaron-new-york,4.0,10.545454545454545
bagels-and-wraps-brooklyn,3.5,19.8
satis-roti-shop-south-ozone-park,3.5,20.142857142857142
indian-diner-south-richmond-hill,1.0,14.5
soigne-restaurant-and-wine-bar-brooklyn,4.0,11.8
fat-buddha-new-york,4.0,28.90277777777778
black-mountain-wine-house-brooklyn,4.5,14.4
bisoux-market-new-york,3.0,15.333333333333334
tengu-sushi-and-noodle-house-brooklyn-3,3.5,29.966666666666665
betty-brooklyn-brooklyn,5.0,7.25
daniel-new-york,4.5,10.5
the-montrose-brooklyn,3.5,10.0
la-parada-restaurant-brooklyn,3.0,19.21951219512195
shanghai-heping-restaurant-new-york,3.5,22.306122448979593
true-colors-jackson-heights,3.5,29.88235294117647
yip-szechuan-gourmet-glendale,3.0,15.846153846153847
odessa-restaurant-new-york-129,3.5,29.785714285714285
one-stop-beer-shop-brooklyn,4.0,6.833333333333333
bocca-di-bacco-new-york-2,3.5,15.5234375
barcade-brooklyn,4.0,2.0
clinton-street-baking-company-new-york-3,4.0,35.083333333333336
pranzo-new-york,4.0,16.76923076923077
deninos-pizzeria-tavern-staten-island,4.0,24.235294117647058
f-monteleone-bakery-and-cafe-brooklyn,4.5,14.833333333333334
casa-nonna-new-york-2,4.0,12.833333333333334
decoy-new-york,4.0,31.391304347826086
the-john-dory-oyster-bar-new-york,3.0,12.0
chiflez-jackson-heights,5.0,30.857142857142858
amsterdam-ale-house-new-york,3.0,30.756756756756758
leonidas-new-york-3,4.0,7.2
anthony-davids-hoboken,4.0,27.17948717948718
khe-yo-new-york,4.0,7.0
fu-on-kitchen-new-york,3.0,23.0
fiddlesticks-new-york,3.0,22.615384615384617
cafe-rubio-sports-bar-and-restaurant-corona,3.5,25.098039215686274
dunkin-donuts-and-baskin-robbins-new-york-4,3.5,13.261538461538462
ka-sing-supermarket-brooklyn,3.0,23.0
delhi-heights-jackson-heights,3.5,22.161290322580644
ozone-pizzeria-ozone-park,3.5,15.8
macbar-new-york-2,3.5,18.852941176470587
lamb-noodle-soup-flushing,4.5,26.625
lucky-star-bloomfield,3.5,16.73913043478261
hou-yi-hot-pot-new-york,3.5,31.04
courtyard-new-york-manhattan-fifth-avenue-new-york,4.0,18.23076923076923
chang-li-supermarket-inc-bronx,4.0,9.8
point-view-deli-brooklyn,3.5,14.266666666666667
brooklyn-sweet-spot-brooklyn-2,3.5,21.785714285714285
southern-hospitality-new-york-3,3.0,19.307692307692307
don-pancho-villa-restaurant-brooklyn,3.5,25.5
ceo-ktv-and-cafe-flushing,2.5,13.931034482758621
chirping-chicken-new-york-2,3.5,17.15463917525773
jacks-stir-brew-coffee-new-york,4.0,8.833333333333334
the-dead-poet-new-york,4.0,11.818181818181818
katzs-delicatessen-new-york,4.0,31.604166666666668
session-house-new-york,4.0,23.551724137931036
tiberias-new-york,2.5,39.06382978723404
la-picada-azuaya-jackson-heights,2.5,14.72972972972973
pacific-moon-woodside,4.0,5.0
bryant-park-hotel-new-york,4.0,9.5
mac-cosmetics-new-york-10,4.0,10.0
the-ritz-new-york-2,3.5,18.535714285714285
golden-city-chinese-restaurant-new-york,3.5,22.095238095238095
grace-pizza-glendale,4.0,21.551724137931036
the-racquet-and-tennis-club-new-york,4.0,23.6
island-cz-cafe-crown-heights,2.5,18.565217391304348
boulud-sud-new-york,4.0,10.125
the-cannibal-new-york,4.0,9.470588235294118
dunkin-donuts-new-york-11,3.5,5.5
the-levee-brooklyn,4.0,22.489795918367346
jakes-wayback-burgers-little-ferry,3.5,13.3
papazzio-restaurant-bayside,4.0,10.6
le-bernardin-new-york,4.5,47.282828282828284
brooklyn-bridge-garden-bar-brooklyn,3.5,49.583333333333336
jin-feng-restaurant-manhattan,5.0,13.785714285714286
smalls-jazz-club-new-york,4.5,9.823529411764707
bowery-kitchen-supply-equipment-new-york,4.0,11.571428571428571
ruay-thai-new-york,4.0,21.81578947368421
east-village-social-new-york,4.0,21.166666666666668
g-lees-smokin-bbq-brooklyn,4.0,26.545454545454547
fusha-japanese-new-york-2,3.5,46.74193548387097
theatre-row-diner-new-york,3.0,15.5
small-peace-soup-and-smoothie-new-york-2,4.5,24.23076923076923
atlas-cafe-and-bakery-new-york-2,3.5,12.892857142857142
cafe-el-puente-restaurant-brooklyn,3.5,23.80952380952381
pocha-32-new-york,3.5,12.11111111111111
new-york-hilton-new-york-2,3.0,1.6666666666666667
scorpio-cafe-and-bar-astoria,2.5,13.283582089552239
la-nueva-espana-new-york-2,2.5,17.607843137254903
new-wonton-garden-new-york-2,3.5,15.145833333333334
maspeth-diner-maspeth-16,3.5,10.272727272727273
